model,outcome,term,coefficient,std_error_hac24,t_value,p_value_hac24,ci_low,ci_high,n,r_squared
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.15],8.19559900220648,4.785124496546476,1.7127242996752572,0.08676327250077612,-1.18307267256497,17.57427067697793,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.16],15.198109926702195,4.166613438963742,3.647592979127443,0.0002647085327286921,7.031697648832683,23.364522204571706,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.17],34.278600028671846,6.109721683467553,5.610501067737203,2.0174162766511846e-08,22.303765573512013,46.25343448383168,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.18],50.71117503856158,9.224592376032504,5.497389258122693,3.854552230260084e-08,32.631306209475106,68.79104386764806,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.19],37.025100153897114,6.5034015133096,5.693189952692146,1.2468753419866603e-08,24.27866741080701,49.77153289698722,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.20],23.720491901055095,4.621029648949519,5.133161590176636,2.849150869263228e-07,14.663440217622268,32.77754358448792,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.21],11.682645399709534,5.448809873045465,2.1440728658017636,0.032027048821691766,1.003174289934158,22.36211650948491,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.22],8.352513657046288,5.178255366449146,1.6129976345245034,0.10674502170515796,-1.7966803639452973,18.501707678037874,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.23],6.8535872458778355,4.388409723876291,1.5617473474705659,0.11834751997349208,-1.7475377623250568,15.454712254080729,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.1],-8.418577501381192,3.7793570200661315,-2.2275158067056293,0.025912820590199778,-15.82598114542943,-1.0111738573329516,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.2],-3.6643668441518544,4.527175591812842,-0.8094156654269536,0.41827609437827473,-12.53746795579383,5.208734267490121,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.3],-17.766229507483807,6.290056344436586,-2.8244944933120735,0.004735526200722079,-30.094513403307182,-5.43794561166043,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.4],-21.830674742688675,4.748847460232671,-4.597046952023823,4.285210803460515e-06,-31.138244732819217,-12.523104752558133,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.5],-19.13286892758689,5.232018105702444,-3.6568812532842214,0.0002553025771153338,-29.38743598122516,-8.878301873948622,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(day_of_week)[T.6],-26.843506668335806,7.884259600464144,-3.4046959421218874,0.0006623776111685697,-42.29637153000969,-11.390641806661927,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_temperature_absolute_error,-2.0643918729505972,1.8646769121177993,-1.1071043243657543,0.2682488261157665,-5.719091463504843,1.5903077176036486,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_wind_speed_absolute_error,-1.4063423067124796,2.3755517702082605,-0.5920065916261585,0.5538461744229994,-6.062338219731041,3.2496536063060812,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_shortwave_radiation_absolute_error,-6.890334190050258,8.276298361849426,-0.8325381576154948,0.40510524941372894,-23.11158090458298,9.330912524482464,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_precipitation_absolute_error,0.583888260527245,1.3036671267458622,0.4478814020452543,0.6542387912287598,-1.9712523557234585,3.1390288767779486,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_load_forecast_error_mw,1.2914216117672856,3.4161936512509707,0.3780293928285892,0.7054087590275256,-5.404194908899003,7.9870381324335735,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_solar_forecast_error_mw,-4.872298764363698,2.1713195137223287,-2.243934498617864,0.02483661607303802,-9.128006810188486,-0.6165907185389106,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_wind_onshore_forecast_error_mw,3.4222047066806747,2.325182824923857,1.4718002687778935,0.1410748210228218,-1.1350698876411869,7.979479301002536,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_actual_residual_load,35.312685202803294,4.210637311583425,8.386541653839057,5.006523664112529e-17,27.059987720139226,43.56538268546736,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_temperature_absolute_error:high_renewable_regime,5.381690564201526,3.323060054606544,1.6194984369124583,0.10534006253301047,-1.1313874612910055,11.894768589694058,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_wind_speed_absolute_error:high_renewable_regime,-0.6206106870870413,2.6597369450295103,-0.23333536357677487,0.8155010001967389,-5.833599307695471,4.592377933521388,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_shortwave_radiation_absolute_error:high_renewable_regime,4.961595757813812,8.421940214929116,0.5891274019042145,0.5557758128495272,-11.545103743396776,21.468295259024398,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,z_precipitation_absolute_error:high_renewable_regime,-0.028292796321634103,1.8587068093750037,-0.015221763959183886,0.9878552585442719,-3.6712912005159968,3.614705607872729,239,0.9232830145428738
price_volatility_baseline,price_volatility_24h,Intercept,49.27403781013844,2.332483298903413,21.125140674449412,4.672323063251087e-99,44.70245454974658,53.8456210705303,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.1],0.02037834909848514,0.8350108079182118,0.024404892613654857,0.9805296457479135,-1.616212761122903,1.6569694593198734,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.2],-0.5668429203138682,1.7512112712453265,-0.32368619915903873,0.74617562030791,-3.9991539412753117,2.8654681006475755,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.3],-1.9085635268267493,2.3080019135554424,-0.8269332514922554,0.4082748953115397,-6.432164153644943,2.6150370999914445,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.4],-1.7051094156168465,2.5337223789557397,-0.672966158320628,0.5009688209517339,-6.671114025193242,3.26089519395955,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.5],-0.4315590055516225,1.8130661425983194,-0.2380271714374148,0.8118600199982395,-3.9851033466332906,3.121985335530045,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.6],0.6308489269188704,2.4625581700554515,0.2561762538607017,0.7978147436408869,-4.195676396224677,5.457374250062417,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.7],-0.4591208100413735,2.8225605656518526,-0.16266110128104283,0.8707852756901187,-5.9912378629020075,5.07299624281926,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.8],-2.134979105554172,3.214561068680675,-0.664158826022992,0.5065886629379539,-8.435403026272883,4.1654448151645385,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.9],-2.1232638768143817,3.70440634055073,-0.5731725090662485,0.5665278961457427,-9.38376688839563,5.137239134766867,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.10],-3.0958095702256636,3.616982033980644,-0.8559095790748488,0.3920477960508578,-10.184964089556157,3.9933449491048294,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.11],-4.198879824011432,3.2472276150577075,-1.2930660618124894,0.19598821181481252,-10.563328999128434,2.165569351105569,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.12],-5.363707163438541,2.890008485755616,-1.8559485862672669,0.0634608867235952,-11.028019710534686,0.30060538365760436,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.13],-6.013400621158504,2.676738350139227,-2.246540316817191,0.02466942015694125,-11.259711383468552,-0.7670898588484549,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.14],-6.887234365577998,2.6025098843424193,-2.6463816360559984,0.008135797184340925,-11.988060008298643,-1.786408722857355,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.15],-8.255026980358961,2.759249095490994,-2.9917657647687017,0.0027736899296732145,-13.66305583189603,-2.846998128821893,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.16],-8.770296185227888,3.3157722117501707,-2.6450237305652085,0.00816851881919158,-15.26909030119694,-2.271502069258836,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.17],-8.759264932396166,3.701366529031791,-2.3664948779572574,0.017957422742723876,-16.013810022880506,-1.504719841911827,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.18],-8.273733818358115,3.5748614763237803,-2.314420816905732,0.020644650097370973,-15.280333561672412,-1.2671340750438187,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.19],-5.94651735575109,2.726408574217373,-2.181080785904608,0.029177441730506348,-11.29017996835834,-0.6028547431438405,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.20],-3.289679778202234,2.272235535060461,-1.4477723490556624,0.1476807283270511,-7.7431795913128365,1.163820034908369,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.21],-1.528010981015634,1.9896528513833203,-0.7679786853034556,0.44249984811334964,-5.427658911464366,2.371636949433099,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.22],-0.730448268196838,2.134929621139775,-0.3421416148635727,0.732244321030327,-4.914833435158539,3.453936898764863,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(hour_utc)[T.23],-0.6732563329573361,2.2204584898147526,-0.30320599824115796,0.7617328781200223,-5.025275002160449,3.6787623362457773,229,0.6247805338743737
price_volatility_baseline,price_volatility_24h,C(day_of_week)[T.1],-1.2280930714949454,2.696921583270726,-0.45536847608507763,0.6488441703820276,-6.5139622438343086,4.057776100844418,229,0.6247805338743737
